,AMAZONAS,ANTIOQUIA,ARAUCA,ATLANTICO,BOGOTA,BOLIVAR,BOYACA,CALDAS,CAQUETA,CASANARE,CAUCA,CESAR,CHOCO,CORDOBA,CUNDINAMARCA,GUAINIA,GUAVIARE,HUILA,LA GUAJIRA,MAGDALENA,META,N. DE SANTANDER,NARIÑO,PUTUMAYO,QUINDIO,RISARALDA,SAN ANDRES,SANTANDER,SUCRE,TOLIMA,VALLE DEL CAUCA,VAUPES,VICHADA
Obtener información,0.50882,0.49175,0.44436,0.54096,0.69783,0.25130,0.52985,0.60145,0.28812,0.46246,0.49634,0.32622,0.32092,0.44402,0.54487,0.37227,0.36482,0.63274,0.33615,0.24111,0.39717,0.58372,0.51172,0.47989,0.50409,0.51195,0.49441,0.50948,0.41140,0.51032,0.53571,0.66821,0.62012
Enviar o recibir correos electronicos,0.33678,0.52879,0.29367,0.52548,0.68699,0.39725,0.41152,0.43935,0.23496,0.37226,0.24070,0.30929,0.38992,0.33737,0.45629,0.29618,0.30871,0.39409,0.32504,0.31107,0.34532,0.30795,0.29494,0.30971,0.45208,0.54172,0.53087,0.42247,0.25823,0.40365,0.45218,0.50323,0.36244
Redes sociales,0.86278,0.87013,0.84757,0.81624,0.77943,0.78723,0.77026,0.86995,0.84692,0.83661,0.84578,0.81586,0.79654,0.80556,0.81432,0.85583,0.88179,0.84169,0.75200,0.80670,0.85104,0.80075,0.83732,0.78961,0.89662,0.88695,0.93313,0.84928,0.78650,0.82909,0.84122,0.68702,0.82290
Comprar/ordenar productos o servicios,0.05026,0.16286,0.09137,0.09319,0.25678,0.07125,0.08683,0.10990,0.04862,0.10485,0.03837,0.03812,0.02212,0.05783,0.08896,0.04577,0.08890,0.11788,0.06331,0.06198,0.07483,0.06637,0.07953,0.05159,0.10397,0.15195,0.13126,0.06541,0.03802,0.08181,0.11193,0.08567,0.07501
Banca electrónica y otros servicios financieros,0.06872,0.17012,0.07125,0.13696,0.29585,0.07537,0.09620,0.11469,0.03814,0.10843,0.04380,0.04726,0.02448,0.07695,0.12727,0.05964,0.10200,0.10285,0.05298,0.05317,0.09139,0.11803,0.07421,0.03024,0.13227,0.14748,0.18041,0.09078,0.03906,0.10296,0.12504,0.06886,0.11494
Educación y aprendizaje,0.20928,0.25197,0.31252,0.31695,0.34966,0.37628,0.37297,0.27863,0.25445,0.28231,0.32594,0.32383,0.33441,0.36526,0.29070,0.16926,0.32266,0.35519,0.36637,0.41225,0.31181,0.34022,0.31751,0.33656,0.22934,0.29574,0.17021,0.31545,0.38404,0.28680,0.27565,0.28231,0.25219
"Trámites con entidades del gobierno (nacional, departamental o municipal)",0.03691,0.07935,0.08619,0.06367,0.14182,0.03409,0.04069,0.08137,0.01718,0.04786,0.03503,0.04107,0.01977,0.04911,0.06196,0.03550,0.05691,0.07046,0.02892,0.03124,0.05166,0.04913,0.06484,0.02533,0.05769,0.07736,0.06306,0.02774,0.02243,0.06787,0.06243,0.08975,0.05392
"Descargar software, imágenes, juegos, música o jugar en línea",0.01511,0.20359,0.15179,0.21143,0.22763,0.15075,0.12208,0.21737,0.04862,0.08168,0.13432,0.08796,0.08266,0.16437,0.17687,0.10423,0.24439,0.24908,0.10402,0.14194,0.18423,0.24136,0.16857,0.08893,0.14234,0.22240,0.32368,0.10375,0.12393,0.13400,0.17976,0.12711,0.09987
"Consulta de medios de comunicación (televisión, radio, periódicos, revistas, medios digitales, etc)",0.04389,0.20631,0.10280,0.17878,0.27090,0.14274,0.13449,0.20314,0.01631,0.05441,0.08924,0.09993,0.01122,0.09287,0.14334,0.03215,0.11420,0.18293,0.05434,0.14070,0.10517,0.10149,0.14848,0.04506,0.10237,0.16481,0.07137,0.16098,0.08026,0.10955,0.14754,0.05597,0.03842
"Televisión, videos, películas u otro contenido audiovisual para entretenimiento",0.07988,0.30857,0.23719,0.28010,0.35411,0.36141,0.24123,0.30993,0.14943,0.17070,0.20782,0.10925,0.07536,0.25643,0.22283,0.16292,0.27436,0.26584,0.10299,0.19477,0.21377,0.22291,0.30679,0.14224,0.27388,0.30196,0.24083,0.30000,0.23782,0.18752,0.33839,0.08454,0.17142
"Buscar trabajo (inscribirse en una plataforma, aplicación o convocatoria de empleo)",0.00045,0.00331,0.00088,0.00157,0.00306,0.00689,0.00123,0.00064,0.00210,0.00046,0.00028,0.00049,0.00025,,0.00218,0.00097,0.00105,0.00032,0.00221,0.00051,0.00020,,0.00150,0.00181,0.00245,0.00125,,0.00152,0.00048,0.00102,0.00189,0.00028,0.00041
"Servicios en la nube (guardar información, editar archivos, etc.)",0.01434,0.06381,0.03886,0.06433,0.10587,0.04907,0.03473,0.05439,0.01937,0.03982,0.03127,0.03931,0.01904,0.04621,0.07523,0.00557,0.06305,0.05081,0.03661,0.03062,0.03251,0.02942,0.04399,0.04494,0.04401,0.05529,0.02161,0.04997,0.04276,0.03464,0.04871,0.02155,0.01799
Vender productos o servicios,0.00831,0.12884,0.02171,0.05103,0.16039,0.02764,0.07929,0.11470,0.00802,0.02927,0.04326,0.00698,0.00651,0.04490,0.06996,0.00846,0.06991,0.07196,0.02068,0.02442,0.03387,0.06195,0.07481,0.03490,0.09844,0.14351,0.02402,0.02364,0.02268,0.05104,0.06087,0.03657,0.01641
Trabajar,0.01065,0.03446,0.02603,0.02117,0.04032,0.01740,0.01130,0.02467,0.01905,0.03264,0.01446,0.00634,0.00953,0.01305,0.02213,0.00823,0.02131,0.02893,0.01053,0.01889,0.01882,0.04343,0.02787,0.04755,0.02554,0.03702,0.01310,0.01703,0.00974,0.02533,0.02658,0.01364,0.00762
Otro,0.02388,0.12840,0.05548,0.11390,0.25317,0.09845,0.06970,0.15967,0.06650,0.09505,0.04019,0.02637,0.03012,0.07399,0.11356,0.07390,0.08059,0.09030,0.04957,0.05561,0.06235,0.11162,0.07904,0.09504,0.05805,0.13520,0.05818,0.15996,0.04757,0.10199,0.15230,0.07224,0.04018
